Students,Code_1,Code_2,Code_3,Code_4,Code_5,Code_6,Code_7
CNSH_1,0,0,0,0,5,0,0
CNSH_2,0,0,3,0,0,0,0
CNSH_3,0,0,0,4,0,0,0
CNSH_4,0,2,0,0,0,0,0
CNSH_5,0,0,0,0,0,6,0
CNSH_6,0,0,0,4,0,0,0
CNSH_7,0,0,0,0,5,0,0
CNSH_8,0,2,0,0,0,0,0
CNSH_9,0,2,0,0,0,0,0
CNSH_10,0,2,0,0,0,0,0
CNSH_11,0,2,0,0,0,0,0
CNSH_12,0,2,0,0,0,0,0
CNSH_13,0,2,0,0,0,0,0
CNSH_14,0,0,0,4,0,0,0
CNSH_15,0,2,0,0,0,0,0
CNSH_16,0,2,0,0,0,0,0
CNSH_17,0,2,0,0,0,0,0
CNSH_18,1,0,0,0,0,0,0
CNSH_19,0,2,0,0,0,0,0
CNSH_20,0,2,0,0,0,0,0
CNSH_21,0,2,0,0,0,0,0
CNSH_22,0,2,0,0,0,0,0
CNSH_23,1,0,0,0,0,0,0
CNSH_24,1,0,0,0,0,0,0
CNSH_25,0,2,0,0,0,0,0
CNSH_26,0,0,0,0,5,0,0
CNSH_27,0,0,0,4,0,0,0
CNSH_28,0,0,3,0,0,0,0
CNSH_29,0,2,0,0,0,0,0
CNSH_30,0,2,0,0,0,0,0
CNSH_31,0,2,0,0,0,0,0
CNSH_32,0,2,0,0,0,0,0
CNSH_33,0,0,3,0,0,0,0
CNSH_34,0,2,0,0,0,0,0
CNSH_35,0,2,0,0,0,0,0
CNSH_36,0,0,3,0,0,0,0
CNSH_37,1,0,0,0,0,0,0
CNSH_38,0,0,3,0,0,0,0
CNSH_39,0,0,0,0,5,0,0
CNSH_40,0,0,0,4,0,0,0
CNSH_41,0,0,3,0,0,0,0
CNSH_42,0,0,0,0,5,0,0
CNSH_43,0,0,3,0,0,0,0
CNSH_44,0,2,0,0,0,0,0
CNSH_45,0,2,0,0,0,0,0
CNSH_46,0,0,0,4,0,0,0
CNSH_47,0,2,0,0,0,0,0
CNSH_48,0,0,3,0,0,0,0
CNSH_49,0,0,3,0,0,0,0
CNSH_50,0,0,3,0,0,0,0
CNSH_51,0,0,3,0,0,0,0
CNSH_52,0,2,0,0,0,0,0
CNSH_53,0,2,0,0,0,0,0
CNSH_54,0,0,3,0,0,0,0
CNSH_55,0,2,0,0,0,0,0
CNSH_56,1,0,0,0,0,0,0
CNSH_57,0,0,0,0,5,0,0
CNSH_58,0,0,3,0,0,0,0
CNSH_59,0,2,0,0,0,0,0
CNSH_60,0,0,0,0,0,6,0
CNSH_61,0,0,0,0,0,6,0
CNSH_62,0,0,0,0,5,0,0
CNSH_63,0,2,0,0,0,0,0
CNSH_64,1,0,0,0,0,0,0
CNSH_65,0,2,0,0,0,0,0
CNSH_66,0,2,0,0,0,0,0
CNSH_67,0,0,0,4,0,0,0
CNSH_68,0,0,3,0,0,0,0
CNSH_69,0,0,0,0,0,0,7
CNTT_1,0,0,0,0,5,0,0
CNTT_2,0,0,3,0,0,0,0
CNTT_3,0,2,0,0,0,0,0
CNTT_4,0,2,0,0,0,0,0
CNTT_5,0,0,3,0,0,0,0
CNTT_6,0,2,0,0,0,0,0
CNTT_7,0,0,3,0,0,0,0
