Students,Code,Group,,Group,Count,Count_Code,CNSH,CNTT,Co khi,Dien tu,Du lich,Khai thac,Kinh te,KTTC,Ngoai ngu,NTTS,Oto,Tau thuy,Thuc pham,Xay dung,XHNV
CNSH_1,5,CNSH,,Du lich,928,1,6,13,16,6,16,0,24,19,6,7,22,1,11,2,0
CNSH_2,3,CNSH,,Kinh te,792,2,31,75,85,57,287,16,254,196,83,43,82,4,99,19,10
CNSH_3,4,CNSH,,KTTC,585,3,14,70,41,36,193,9,168,135,76,30,58,8,66,14,5
CNSH_4,2,CNSH,,Ngoai ngu,409,4,7,57,32,13,164,4,132,91,78,19,33,5,41,13,3
CNSH_5,6,CNSH,,CNTT,349,5,7,53,14,11,125,1,106,72,72,5,27,3,23,8,3
CNSH_6,4,CNSH,,Thuc pham,251,6,3,60,15,4,101,3,85,56,68,6,12,2,8,9,3
CNSH_7,5,CNSH,,Oto,242,7,1,21,2,2,42,1,23,16,26,1,8,1,3,2,1
CNSH_8,2,CNSH,,Co khi,205,,,,,,,,,,,,,,,,
CNSH_9,2,CNSH,,Dien tu,129,,,,,,,,,,,,,,,,
CNSH_10,2,CNSH,,NTTS,111,,,,,,,,,,,,,,,,
CNSH_11,2,CNSH,,CNSH,69,,,,,,,,,,,,,,,,
CNSH_12,2,CNSH,,Xay dung,67,,,,,,,,,,,,,,,,
CNSH_13,2,CNSH,,Khai thac,34,,,,,,,,,,,,,,,,
CNSH_14,4,CNSH,,Tau thuy,24,,,,,,,,,,,,,,,,
CNSH_15,2,CNSH,,XHNV,11,,,,,,,,,,,,,,,,
CNSH_16,2,CNSH,,,,,,,,,,,,,,,,,,,
CNSH_17,2,CNSH,,,,,,,,,,,,,,,,,,,
CNSH_18,1,CNSH,,,,,,,,,,,,,,,,,,,
CNSH_19,2,CNSH,,,,,,,,,,,,,,,,,,,
CNSH_20,2,CNSH,,,,,,,,,,,,,,,,,,,
CNSH_21,2,CNSH,,,,,,,,,,,,,,,,,,,
CNSH_22,2,CNSH,,,,,,,,,,,,,,,,,,,
