STT,MaSV,Ktra,Thi,TB,Viettat,Nganh,Nhom nganh,Hocky,Code
200,59131610,9.5,8,8.75,CNSH_1,CNSH,Ky thuat,II_1718,5
212,59136190,8.5,5,6.75,CNSH_2,CNSH,Ky thuat,II_1718,3
318,57130567,8.5,7,7.75,CNSH_3,CNSH,Ky thuat,II_1718,4
319,57131424,4,6,5,CNSH_4,CNSH,Ky thuat,II_1718,2
358,57130070,9.5,8.5,9,CNSH_5,CNSH,Ky thuat,II_1718,6
483,59130114,6.5,8,7.25,CNSH_6,CNSH,Ky thuat,II_1718,4
538,59132455,8.5,7.5,8,CNSH_7,CNSH,Ky thuat,II_1718,5
610,59130037,5,5.5,5.25,CNSH_8,CNSH,Ky thuat,II_1718,2
751,59130565,5,6,5.5,CNSH_9,CNSH,Ky thuat,II_1718,2
753,59130656,5,5,5,CNSH_10,CNSH,Ky thuat,II_1718,2
796,60130580,5.5,4.5,5,CNSH_11,CNSH,Ky thuat,I_1819,2
799,59131541,5.5,4.5,5,CNSH_12,CNSH,Ky thuat,I_1819,2
800,60130642,5.5,4.5,5,CNSH_13,CNSH,Ky thuat,I_1819,2
801,59131800,7.5,6.5,7,CNSH_14,CNSH,Ky thuat,I_1819,4
804,59136182,6,4,5,CNSH_15,CNSH,Ky thuat,I_1819,2
806,59132025,6,4,5,CNSH_16,CNSH,Ky thuat,I_1819,2
808,59132136,5.5,4.5,5,CNSH_17,CNSH,Ky thuat,I_1819,2
809,59132137,5,3,4,CNSH_18,CNSH,Ky thuat,I_1819,1
812,59132702,6,4.5,5.25,CNSH_19,CNSH,Ky thuat,I_1819,2
815,59132910,5,5,5,CNSH_20,CNSH,Ky thuat,I_1819,2
816,59132958,4.5,6,5.25,CNSH_21,CNSH,Ky thuat,I_1819,2
879,57160592,6,4,5,CNSH_22,CNSH,Ky thuat,I_1819,2
887,57160624,6,2,4,CNSH_23,CNSH,Ky thuat,I_1819,1
890,57160902,6,2,4,CNSH_24,CNSH,Ky thuat,I_1819,1
893,57160883,5.5,5.5,5.5,CNSH_25,CNSH,Ky thuat,I_1819,2
934,60131345,9,8.5,8.75,CNSH_26,CNSH,Ky thuat,I_1819,5
942,60132287,6,8.5,7.25,CNSH_27,CNSH,Ky thuat,I_1819,4
944,60136440,6,7.5,6.75,CNSH_28,CNSH,Ky thuat,I_1819,3
946,60132239,5.5,5,5.25,CNSH_29,CNSH,Ky thuat,I_1819,2
951,60130996,5.5,4.5,5,CNSH_30,CNSH,Ky thuat,I_1819,2
952,60131952,8,3.5,5.75,CNSH_31,CNSH,Ky thuat,I_1819,2
953,60137096,5,6.5,5.75,CNSH_32,CNSH,Ky thuat,I_1819,2
957,60132128,5,7.5,6.25,CNSH_33,CNSH,Ky thuat,I_1819,3
961,57130705,6,4,5,CNSH_34,CNSH,Ky thuat,I_1819,2
967,57137118,5.5,4.5,5,CNSH_35,CNSH,Ky thuat,I_1819,2
974,57130313,6.5,5.5,6,CNSH_36,CNSH,Ky thuat,I_1819,3
976,57160873, ,2.5,2.5,CNSH_37,CNSH,Ky thuat,I_1819,1
1004,59132048,6,6,6,CNSH_38,CNSH,Ky thuat,I_1819,3
1019,60130174,7.5,10,8.75,CNSH_39,CNSH,Ky thuat,I_1819,5
1029,60136169,7.5,8,7.75,CNSH_40,CNSH,Ky thuat,I_1819,4
1037,60131817,7.5,5,6.25,CNSH_41,CNSH,Ky thuat,I_1819,3
1039,60137157,8.5,7.5,8,CNSH_42,CNSH,Ky thuat,I_1819,5
1081,60135437,7.5,6,6.75,CNSH_43,CNSH,Ky thuat,I_1819,3
1246,57137158,6,4,5,CNSH_44,CNSH,Ky thuat,I_1819,2
1254,57132398,5,6,5.5,CNSH_45,CNSH,Ky thuat,I_1819,2
1255,57132415,6.5,7.5,7,CNSH_46,CNSH,Ky thuat,I_1819,4
1256,55131796,5.5,5.5,5.5,CNSH_47,CNSH,Ky thuat,I_1819,2
1350,60135232,7.5,6,6.75,CNSH_48,CNSH,Ky thuat,I_1819,3
1360,60130792,6.5,5.5,6,CNSH_49,CNSH,Ky thuat,I_1819,3
1388,60130448,8,4.5,6.25,CNSH_50,CNSH,Ky thuat,I_1819,3
1398,60130879,7.5,6,6.75,CNSH_51,CNSH,Ky thuat,I_1819,3
1405,60131752,6,4.5,5.25,CNSH_52,CNSH,Ky thuat,I_1819,2
1418,59131354,8,3.5,5.75,CNSH_53,CNSH,Ky thuat,I_1819,2
1427,59132584,8.5,4.5,6.5,CNSH_54,CNSH,Ky thuat,I_1819,3
1436,55133597,5,5.5,5.25,CNSH_55,CNSH,Ky thuat,I_1819,2
1449,60130749,6,2.5,4.25,CNSH_56,CNSH,Ky thuat,I_1819,1
1549,56132163,8,8,8,CNSH_57,CNSH,Ky thuat,II_1819,5
1731,60131826,6.8,6.8,6.8,CNSH_58,CNSH,Ky thuat,II_1819,3
2060,60131102,5,5.5,5.25,CNSH_59,CNSH,Ky thuat,II_1819,2
2612,61132638,9,9,9,CNSH_60,CNSH,Ky thuat,I_1920,6
2986,58132364,9.5,9.5,9.5,CNSH_61,CNSH,Ky thuat,II_1920,6
4211,62133641,8.8,8.8,8.8,CNSH_62,CNSH,Ky thuat,I_2021,5
4212,62134598,6,4.3,5.15,CNSH_63,CNSH,Ky thuat,I_2021,2
4218,62134572,3.8,3.8,3.8,CNSH_64,CNSH,Ky thuat,I_2021,1
4235,62132688,6,4.8,5.4,CNSH_65,CNSH,Ky thuat,I_2021,2
4307,57160873,6,4.5,5.25,CNSH_66,CNSH,Ky thuat,I_2021,2
4343,62133190,7.5,6.8,7.15,CNSH_67,CNSH,Ky thuat,I_2021,4
4576,62131552,6.5,6.5,6.5,CNSH_68,CNSH,Ky thuat,I_2021,3
4656,62134077,10,10,10,CNSH_69,CNSH,Ky thuat,I_2021,7
29,59132424,8.5,8.5,8.5,CNTT_1,CNTT,Ky thuat,II_1718,5
62,58160593,9.5,4,6.75,CNTT_2,CNTT,Ky thuat,II_1718,3
64,59160754,5,5,5,CNTT_3,CNTT,Ky thuat,II_1718,2
67,59130023,4.5,5.5,5,CNTT_4,CNTT,Ky thuat,II_1718,2
88,59132062,6.5,6,6.25,CNTT_5,CNTT,Ky thuat,II_1718,3
